VS B DENZ PART A I Thigh Tlow Time Dcool Compr Ion HB4861 Fe5160 N5200 Fe5262 O5577 N5755 O6300 HA6563 N6583 S6716 S6731 Fe7155 Fe7172 Ca7291 O7330 Fe7390 Fe7452 Fe8619 C8730 Fe8894 Fe9054 Fe9229 C9850
20.0 10.0 1.5 .5 1 0 0.7335E+04 0.1006E+04 0.6488E+03 0.8286E+16 0.391E+01 0.419E+00 0.304712 5.48481e-05 0.034341 0.000152356 0.000178561 6.7646e-05 0.0658177 1.06002e-05 0.0319947 0.175819 0.124627 0.000563716 0.000140167 0.01423 0.000798344 0.000103602 0.000176733 0.02729 0.00141691 0.00923276 0.00644465 0.00519228 0.0862334
20.0 1.0 1.5 .1 1 0 0.1121E+05 0.1007E+04 0.1687E+04 0.1190E+17 0.651E+01 0.847E-01 0.294004 0.000832032 0.501865 0.00136418 0.00949633 0.00107605 1.23776 2.445e-06 0.173462 1.57292 1.08194 0.0058742 0.0014318 0.186987 0.00503041 0.00106135 0.00184341 0.236929 0.00640929 0.0818478 0.0559431 0.046041 0.25549
20.0 1.0 1.5 .25 1 0 0.1004E+05 0.1018E+04 0.8747E+03 0.6585E+16 0.604E+01 0.208E+00 0.303541 0.000312647 0.180607 0.000673862 0.00270152 0.000613153 0.418887 6.269e-06 0.124148 0.637437 0.449241 0.0023403 0.000570658 0.0722428 0.00430118 0.000424958 0.00073457 0.0960617 0.00503878 0.0330253 0.0226806 0.0185767 0.210961
20.0 1.0 1.5 .5 1 0 0.8583E+04 0.1017E+04 0.5880E+03 0.4604E+16 0.566E+01 0.405E+00 0.307443 0.000113754 0.0631795 0.000344336 0.000522653 0.000249336 0.121133 1.33041e-05 0.0719417 0.275161 0.198916 0.000956148 0.000236731 0.0277928 0.00239806 0.000175243 0.000301294 0.0416339 0.00313592 0.0141731 0.00982895 0.007972 0.155874
20.0 10.0 2.0 .02 1 0 0.1134E+05 0.1019E+04 0.2281E+04 0.2106E+17 0.534E+01 0.178E-01 0.254026 0.00371895 2.35736 0.00544633 0.0467408 0.00154956 5.8172 1.366e-06 0.208302 6.80791 4.64868 0.0258396 0.00628715 0.835747 0.00458772 0.00466392 0.00810598 1.03001 0.017477 0.356653 0.243202 0.200625 0.640146
20.0 10.0 2.0 .05 1 0 0.1106E+05 0.1003E+04 0.1164E+04 0.1049E+17 0.531E+01 0.432E-01 0.285183 0.0016341 1.0067 0.00292027 0.0191643 0.00130614 2.51246 3.307e-06 0.198773 3.05146 2.1075 0.0114815 0.00279194 0.370738 0.00487092 0.00207043 0.00360186 0.45917 0.0169113 0.158624 0.108418 0.089228 0.630254
20.0 10.0 2.0 .1 1 0 0.1063E+05 0.1007E+04 0.7002E+03 0.6265E+16 0.522E+01 0.852E-01 0.29708 0.000811029 0.476517 0.00186269 0.0084965 0.000968482 1.19426 6.85e-06 0.166959 1.52699 1.0784 0.00576039 0.00139925 0.184784 0.00460177 0.00103681 0.00180625 0.230707 0.0147649 0.0794393 0.0544726 0.0446868 0.558511
20.0 10.0 2.0 .25 1 0 0.9530E+04 0.1005E+04 0.3823E+03 0.3437E+16 0.501E+01 0.208E+00 0.304111 0.000282823 0.150231 0.0010431 0.00205275 0.000462248 0.361892 1.87557e-05 0.104614 0.553482 0.41055 0.00209836 0.000507865 0.0650797 0.003403 0.000377097 0.000656879 0.0849533 0.0101573 0.0289726 0.0200591 0.0162973 0.419673
20.0 1.0 2.0 .02 1 0 0.1197E+05 0.1006E+04 0.2025E+04 0.1392E+17 0.690E+01 0.176E-01 0.24387 0.00325078 2.03631 0.00503591 0.0421894 0.00141932 5.02371 1.933e-06 0.181195 5.82848 3.99946 0.0221239 0.0053822 0.697467 0.00415554 0.00399215 0.00694053 0.881955 0.0174367 0.305235 0.208245 0.171701 0.677958
20.0 1.0 2.0 .05 1 0 0.1168E+05 0.1005E+04 0.1030E+04 0.6790E+16 0.683E+01 0.427E-01 0.27894 0.00154812 0.934449 0.00298745 0.0187727 0.00130544 2.33473 4.34e-06 0.187169 2.7894 1.94421 0.0105914 0.00257183 0.334728 0.00477266 0.00190795 0.00332218 0.422034 0.0175453 0.145702 0.0996486 0.081961 0.686193
20.0 10.0 2.0 .5 1 0 0.8162E+04 0.1009E+04 0.2363E+03 0.2238E+16 0.477E+01 0.408E+00 0.307852 0.000107748 0.0522424 0.000612625 0.00039405 0.000179785 0.104977 3.93057e-05 0.0597232 0.231812 0.18625 0.000855827 0.000206261 0.0238585 0.00198564 0.000153926 0.000267831 0.0358863 0.00578761 0.0120493 0.00847208 0.00677889 0.287226
20.0 1.0 2.0 .1 1 0 0.1122E+05 0.1003E+04 0.6320E+03 0.4082E+16 0.666E+01 0.839E-01 0.293447 0.000809913 0.462765 0.00203065 0.0088034 0.00105054 1.16205 8.652e-06 0.167558 1.4555 1.0388 0.00556962 0.00134985 0.174894 0.00477731 0.00100065 0.00174894 0.221077 0.0155527 0.0760614 0.0522012 0.0427845 0.610369
20.0 1.0 2.0 .25 1 0 0.1005E+05 0.1012E+04 0.3335E+03 0.2264E+16 0.618E+01 0.206E+00 0.30323 0.000327488 0.164351 0.00128266 0.00251681 0.000582202 0.394199 2.2028e-05 0.11826 0.576137 0.436651 0.00228029 0.000548846 0.0676203 0.00423916 0.000406328 0.000715623 0.0899198 0.0116744 0.0306566 0.0212322 0.0172447 0.470006
