#Source SSTISAGE1C J052552.24-660754.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.088631	0.003921	18.283	0.047
0.4747 	0.88461	0.015617	16.673	0.019
0.547 	2.8974	0.084193	15.289	0.0311
0.802 	7.7336	0.3794	13.831	0.052
1.21 	12.786	0.27954	12.738	0.024
1.59 	16.531	0.31667	11.98	0.021
2.15 	11.967	0.26163	11.865	0.024
3.6 	6.294	0.2502	11.611	0.043
4.5 	4.573	0.215	11.485	0.051
5.8 	4.299	0.1574	11.082	 0.04
8 	  6.3	0.1813	10.002	0.031
24 	17.45	0.2647	6.501	0.03196
70 	-999.9	-999.9	-999.9	-999.9
