#Source SSTISAGE1C J052221.15-655551.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.039155	0.003541	19.17	0.094
0.4747 	0.57273	0.028651	17.145	0.053
0.547 	2.3878	0.055845	15.499	0.0251
0.802 	7.9649	0.35236	13.799	0.047
1.21 	13.943	0.30482	12.644	0.024
1.59 	18.463	0.42027	11.86	0.025
2.15 	14.125	0.34693	11.685	0.027
3.6 	7.348	0.1823	11.443	0.027
4.5 	4.663	0.1599	11.464	0.037
5.8 	4.351	0.1062	11.069	0.026
8 	5.956	0.1106	10.063	 0.02
24 	4.282	0.1412	 8.03	0.0697
70 	-999.9	-999.9	-999.9	-999.9
