#Source SSTISAGE1C J050205.83-673750.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.023463	0.003049	19.726	0.141
0.4747 	0.064617	0.0039304	19.514	0.066
0.547 	0.1423	0.011422	18.561	0.0871
0.802 	0.29079	0.017954	17.393	0.067
1.21 	0.78549	0.067133	15.767	0.097
1.59 	1.0972	0.087286	14.925	 0.09
2.15 	1.2497	0.090905	14.318	0.082
3.6 	0.7925	0.06857	13.861	0.094
4.5 	0.6519	0.06105	 13.6	0.102
5.8 	0.9173	0.05927	12.759	 0.07
8 	5.748	0.1422	10.102	0.027
24 	13.89	0.2283	6.782	0.03569
70 	208.4	4.883	 1.43	0.05088
