#Source SSTISAGE1C J053744.92-695416.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	 0.42	 0.02	16.59	 0.04
0.4747 	 0.59	 0.02	17.12	 0.03
0.547 	 1.45	 0.04	16.04	 0.03
0.802 	 2.88	 0.11	 14.9	 0.04
1.21 	2.8441	0.10287	14.37	 0.04
1.59 	2.8203	0.10201	 13.9	 0.04
2.15 	-999.9	-999.9	99.999	99.999
3.6 	 1.16	 0.06	13.44	 0.05
4.5 	 0.95	 0.07	13.19	 0.08
5.8 	 1.09	 0.07	12.57	 0.07
8 	1.316	0.04223	11.703	0.035
24 	0.9583	0.07194	9.685	0.08165
70 	-999.9	-999.9	-999.9	-999.9
