#Source SSTISAGE1C J050138.21-685831.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.080677	0.0040359	19.273	0.053
0.547 	0.59595	0.020716	17.006	0.0371
0.802 	7.5994	0.3143	13.85	0.044
1.21 	23.118	0.6714	12.095	0.032
1.59 	40.542	1.1412	11.006	0.031
2.15 	43.531	1.1863	10.463	 0.03
3.6 	 40.9	1.211	9.579	0.032
4.5 	35.18	1.372	9.269	0.042
5.8 	33.96	1.027	8.839	0.033
8 	38.05	0.6463	 8.05	0.018
24 	210.1	1.326	3.833	0.01371
70 	85.97	 3.38	2.392	0.08542
