#Source SSTISAGE1C J052116.41-675700.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	5.219	0.10099	13.858	0.021
0.4747 	4.516	0.058258	14.903	0.014
0.547 	5.049	0.11212	14.686	0.0241
0.802 	4.6685	0.228	14.379	0.053
1.21 	3.2088	0.087449	14.239	 0.03
1.59 	2.4998	0.1059	14.031	0.047
2.15 	2.0045	0.097255	13.805	0.054
3.6 	1.425	0.05243	13.223	 0.04
4.5 	 1.16	0.06308	12.974	0.059
5.8 	0.8303	0.06133	12.868	 0.08
8 	0.6911	0.03611	12.402	0.057
24 	1.499	0.05648	9.199	0.08184
70 	-999.9	-999.9	-999.9	-999.9
