#Source SSTISAGE1C J052714.69-690755.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.01733	0.0025395	20.055	0.159
0.4747 	0.16127	0.013227	18.521	0.089
0.547 	0.67485	0.016231	16.871	0.0261
0.802 	3.3295	0.076701	14.746	0.025
1.21 	6.3965	0.15136	13.49	0.026
1.59 	9.6627	0.21995	12.563	0.025
2.15 	7.8342	0.20648	12.325	0.029
3.6 	3.726	0.1792	12.18	0.052
4.5 	2.266	0.1567	12.247	0.075
5.8 	1.729	0.08435	12.072	0.053
8 	1.348	0.07986	11.676	0.064
24 	3.535	0.1084	8.268	0.06661
70 	-999.9	-999.9	-999.9	-999.9
