#Source SSTISAGE1C J045333.17-670300.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	10.854	0.38003	13.063	0.038
0.4747 	11.459	0.26397	13.892	0.025
0.547 	10.423	0.15463	13.899	0.0161
0.802 	8.5818	0.22141	13.718	0.028
1.21 	5.7749	0.14184	13.601	0.027
1.59 	4.0467	0.15713	13.508	0.043
2.15 	3.0395	0.12608	13.353	0.046
3.6 	 1.63	0.1397	13.078	0.093
4.5 	  1.2	0.07507	12.937	0.068
5.8 	0.9065	0.06199	12.772	0.074
8 	0.6423	0.04243	12.481	0.072
24 	1.702	0.2871	9.061	0.3697
70 	-999.9	-999.9	-999.9	-999.9
