#Source SSTISAGE1C J055143.52-695631.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.047906	0.0077262	18.951	0.175
0.4747 	0.054394	0.0065169	19.701	 0.13
0.547 	0.45583	0.092878	17.297	0.2211
0.802 	1.0685	0.1349	15.98	0.137
1.21 	1.0943	0.078669	15.407	0.081
1.59 	1.3903	0.10469	14.668	0.085
2.15 	1.3403	0.10662	14.242	 0.09
3.6 	1.209	0.1943	13.402	0.175
4.5 	1.355	0.1528	12.805	0.122
5.8 	 1.79	0.09494	12.034	0.058
8 	7.854	0.5177	9.763	0.072
24 	21.96	0.3662	6.266	0.03559
70 	169.9	4.246	1.652	0.05426
