#Source SSTISAGE1C J053153.95-673845.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.08061	0.0056459	18.386	0.076
0.4747 	0.5791	0.01174	17.133	0.022
0.547 	1.9231	0.042709	15.734	0.0241
0.802 	4.596	0.10587	14.396	0.025
1.21 	7.1112	0.15547	13.375	0.024
1.59 	8.6199	0.21946	12.687	0.028
2.15 	6.7359	0.20767	12.489	0.034
3.6 	2.962	0.1768	12.429	0.065
4.5 	1.734	0.08718	12.537	0.055
5.8 	1.177	0.07365	12.489	0.068
8 	0.7606	0.0325	12.298	0.046
24 	1.929	0.1823	8.925	0.2058
70 	-999.9	-999.9	-999.9	-999.9
