#Source SSTISAGE1C J051939.26-681226.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.01595	0.0017821	21.033	0.115
0.547 	0.067361	0.0036374	19.373	0.0571
0.802 	1.6519	0.061993	15.507	 0.04
1.21 	7.6128	0.18014	13.301	0.026
1.59 	14.706	0.29499	12.107	0.022
2.15 	15.233	0.29181	11.603	0.021
3.6 	9.115	0.3197	11.209	0.038
4.5 	 5.64	0.2642	11.257	0.051
5.8 	5.186	0.1739	10.879	0.036
8 	6.884	0.1736	9.906	0.027
24 	6.032	0.1239	7.693	0.04483
70 	-999.9	-999.9	-999.9	-999.9
