#Source SSTISAGE1C J053643.57-693645.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.1647	0.42597	14.103	0.111
0.4747 	4.6468	0.11133	14.872	0.026
0.547 	4.6388	0.098741	14.778	0.0231
0.802 	3.5284	0.15606	14.683	0.048
1.21 	2.5962	0.089294	14.469	0.038
1.59 	1.9351	0.090494	14.309	0.052
2.15 	1.4818	0.11158	14.133	0.085
3.6 	1.024	0.05425	13.582	0.058
4.5 	0.8045	0.05621	13.371	0.076
5.8 	0.6941	0.05663	13.062	0.089
8 	0.7892	0.03534	12.258	0.049
24 	 11.6	0.3908	6.845	0.0648
70 	-999.9	-999.9	-999.9	-999.9
