#Source SSTISAGE1C J052938.48-691512.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	 0.11	 0.01	18.02	 0.06
0.4747 	 0.34	 0.06	17.73	 0.17
0.547 	 2.03	 0.09	15.68	 0.05
0.802 	 2.14	 0.09	15.23	 0.04
1.21 	2.3439	0.10549	14.58	 0.05
1.59 	2.3676	0.18834	14.09	 0.09
2.15 	1.8707	0.13288	13.88	 0.08
3.6 	 1.07	 0.05	13.53	 0.05
4.5 	 0.76	 0.06	13.43	 0.08
5.8 	 0.51	 0.04	 13.4	 0.09
8 	 0.39	 0.03	13.02	 0.08
24 	-999.9	-999.9	99.999	99.999
70 	-999.9	-999.9	-999.9	-999.9
