#Source SSTISAGE1C J053009.85-694655.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.028919	0.0031983	19.499	 0.12
0.4747 	0.29974	0.051379	17.848	0.186
0.547 	1.2486	0.043836	16.203	0.0381
0.802 	3.4228	0.16401	14.716	0.052
1.21 	5.5302	0.18036	13.648	0.036
1.59 	7.7464	0.21805	12.803	0.031
2.15 	5.5207	0.1702	12.705	0.034
3.6 	2.826	0.08575	12.48	0.033
4.5 	1.859	0.07897	12.462	0.046
5.8 	1.433	0.04997	12.275	0.038
8 	1.099	0.04067	11.898	 0.04
24 	 3.25	0.09208	8.359	0.06154
70 	-999.9	-999.9	-999.9	-999.9
