#Source SSTISAGE1C J053920.46-702954.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.3163	0.085374	14.74	 0.04
0.4747 	4.8211	0.18659	14.832	0.042
0.547 	6.7113	0.74271	14.377	0.1201
0.802 	8.348	0.33845	13.748	0.044
1.21 	7.1572	0.18864	13.368	0.029
1.59 	5.9525	0.19413	13.089	0.036
2.15 	4.1152	0.1452	13.024	0.039
3.6 	1.811	0.1115	12.964	0.067
4.5 	1.136	0.1125	12.997	0.107
5.8 	0.7599	0.05736	12.964	0.082
8 	0.5231	0.04528	12.704	0.094
24 	1.261	0.05802	9.387	0.09994
70 	-999.9	-999.9	-999.9	-999.9
