#Source SSTISAGE1C J051917.30-693147.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.064149	0.0044614	18.634	0.073
0.4747 	0.75154	0.031803	16.85	0.045
0.547 	2.3078	0.19507	15.536	0.0881
0.802 	6.6433	0.31949	13.996	0.051
1.21 	10.026	0.19206	13.002	0.021
1.59 	12.691	0.32311	12.267	0.028
2.15 	9.5498	0.23456	12.11	0.027
3.6 	6.292	0.2189	11.611	0.038
4.5 	5.992	0.231	11.191	0.042
5.8 	7.286	0.2697	10.51	 0.04
8 	   14	0.3751	9.135	0.029
24 	15.03	0.2707	6.696	0.03911
70 	-999.9	-999.9	-999.9	-999.9
