#Source SSTISAGE1C J054412.04-682727.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.7426	0.073741	15.049	0.045
0.4747 	1.7312	0.043591	15.944	0.027
0.547 	1.6781	0.087358	15.882	0.0551
0.802 	1.4655	0.043835	15.637	0.032
1.21 	1.3438	0.05337	15.184	0.044
1.59 	1.8599	0.11774	14.352	0.071
2.15 	3.0761	0.14385	13.34	0.052
3.6 	6.701	0.2525	11.543	0.041
4.5 	8.636	0.3459	10.794	0.043
5.8 	11.11	0.3234	10.051	0.032
8 	14.65	0.3973	9.086	0.029
24 	15.35	0.1898	6.673	0.02684
70 	-999.9	-999.9	-999.9	-999.9
