#Source SSTISAGE1C J051651.95-684516.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.12658	0.0061414	18.784	0.054
0.547 	1.052	0.032526	16.389	0.0341
0.802 	7.8339	0.26247	13.817	0.037
1.21 	24.817	0.5649	12.018	0.025
1.59 	45.363	1.0734	10.884	0.026
2.15 	51.713	1.0373	10.276	0.022
3.6 	37.84	1.348	9.663	0.039
4.5 	22.07	0.9426	9.775	0.046
5.8 	16.27	0.5203	9.637	0.035
8 	12.49	0.3275	9.259	0.028
24 	1.895	0.08466	 8.92	0.047455
70 	-999.9	-999.9	-999.9	-999.9
