#Source SSTISAGE1C J050718.32-690742.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.3731	0.19297	14.05	0.049
0.4747 	13.133	0.4283	13.744	0.036
0.547 	14.165	0.53873	13.566	0.0421
0.802 	10.914	0.38507	13.457	0.039
1.21 	10.567	0.26902	12.945	0.028
1.59 	8.5251	0.25522	12.699	0.033
2.15 	8.6376	0.2354	12.219	 0.03
3.6 	17.54	0.6348	10.498	0.039
4.5 	24.09	0.8991	9.681	0.041
5.8 	33.11	0.8886	8.866	0.029
8 	50.96	0.9572	7.733	 0.02
24 	58.67	0.4865	5.218	0.018
70 	-999.9	-999.9	-999.9	-999.9
