#Source SSTISAGE1C J052048.17-701212.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	-999.9	-999.9	99.999	99.999
1.59 	0.91685	0.090625	15.12	0.113
2.15 	3.8264	0.11113	13.103	0.032
3.6 	27.61	0.7899	10.005	0.031
4.5 	46.16	 2.64	8.975	0.062
5.8 	75.97	1.687	7.964	0.024
8 	109.5	1.906	6.902	0.019
24 	73.97	0.5581	4.966	0.01638
70 	-999.9	-999.9	-999.9	-999.9
