#Source SSTISAGE1C J045625.68-663115.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.13085	0.0089236	17.86	0.074
0.4747 	1.1922	0.035156	16.349	0.032
0.547 	4.6688	0.32739	14.771	0.0761
0.802 	13.88	1.573	13.196	0.123
1.21 	23.075	0.52525	12.097	0.025
1.59 	30.332	0.74499	11.321	0.027
2.15 	23.856	0.60735	11.116	0.028
3.6 	11.57	0.4335	10.95	0.041
4.5 	6.364	0.3329	11.126	0.057
5.8 	5.064	0.2707	10.905	0.058
8 	4.946	0.3823	10.265	0.084
24 	17.99	0.2989	6.501	0.03608
70 	-999.9	-999.9	-999.9	-999.9
