#Source SSTISAGE1C J050912.76-674719.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.8527	0.10284	13.937	0.023
0.4747 	4.6425	0.089836	14.873	0.021
0.547 	4.6559	0.17204	14.774	0.0401
0.802 	3.5775	0.35932	14.668	0.109
1.21 	1.8808	0.054624	14.819	0.032
1.59 	1.4993	0.08322	14.586	0.062
2.15 	1.1738	0.096358	14.386	0.093
3.6 	0.6528	0.02141	14.071	0.036
4.5 	0.5352	0.03455	13.814	 0.07
5.8 	0.4828	0.04078	13.456	0.092
8 	0.3732	0.02455	13.071	0.071
24 	0.8047	0.05064	9.875	0.1368
70 	-999.9	-999.9	-999.9	-999.9
