#Source SSTISAGE1C J053130.65-714448.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	1.0783	0.14277	16.458	0.135
0.547 	0.88799	0.35266	16.573	0.3631
0.802 	0.99996	0.03276	16.052	0.035
1.21 	1.2976	0.07653	15.222	0.066
1.59 	1.8668	0.10036	14.348	 0.06
2.15 	4.0216	0.14189	13.049	0.039
3.6 	13.98	0.4668	10.744	0.036
4.5 	18.31	0.8705	9.979	0.052
5.8 	23.28	0.6229	9.248	0.029
8 	30.53	0.5884	8.289	0.021
24 	22.21	0.3175	6.272	0.03104
70 	-999.9	-999.9	-999.9	-999.9
