#Source SSTISAGE1C J054211.52-690139.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	25.418	0.5557	11.992	0.024
1.59 	16.901	0.36948	11.956	0.024
2.15 	11.138	0.26355	11.943	0.026
3.6 	4.781	0.1288	11.909	0.029
4.5 	3.018	0.09471	11.936	0.034
5.8 	2.068	0.07678	11.877	 0.04
8 	1.164	0.02948	11.836	0.027
24 	4.154	0.2932	8.093	0.1535
70 	-999.9	-999.9	-999.9	-999.9
