#Source SSTISAGE1C J053218.87-660944.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.0072776	0.0012208	20.997	0.182
0.4747 	0.17201	0.015852	18.451	  0.1
0.547 	0.24797	0.021961	17.958	0.0961
0.802 	1.6322	0.21358	15.52	0.142
1.21 	1.709	0.117	14.923	0.077
1.59 	2.3437	0.16247	14.101	0.078
2.15 	2.1777	0.15469	13.715	 0.08
3.6 	-999.9	-999.9	99.999	99.999
4.5 	1.133	0.1592	12.999	0.153
5.8 	1.794	0.136	12.031	0.082
8 	8.109	0.5169	9.728	0.069
24 	25.28	0.3028	6.132	0.02601
70 	299.6	6.269	1.036	0.04544
