#Source SSTISAGE1C J053612.08-711717.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.10784	0.0075531	18.07	0.076
0.4747 	0.15009	0.007331	18.599	0.053
0.547 	0.7325	0.023693	16.782	0.0351
0.802 	3.3173	0.085589	14.75	0.028
1.21 	7.6479	0.20843	13.296	 0.03
1.59 	11.033	0.32044	12.419	0.032
2.15 	8.9783	0.24468	12.177	 0.03
3.6 	 4.47	0.2602	11.982	0.063
4.5 	2.546	0.2083	12.121	0.089
5.8 	 1.84	0.119	12.004	 0.07
8 	1.144	0.06502	11.855	0.062
24 	9.674	0.1825	7.175	0.04098
70 	-999.9	-999.9	-999.9	-999.9
