#Source SSTISAGE1C J052438.62-702356.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.0090696	0.0020617	20.758	 0.28
0.4747 	0.030757	0.0025509	20.32	0.094
0.547 	0.070018	0.0043173	19.331	0.0691
0.802 	0.10009	0.0061628	18.551	0.069
1.21 	0.21875	0.21875	17.155	17.155
1.59 	0.27283	0.27283	16.436	16.436
2.15 	1.0814	0.096061	14.475	0.101
3.6 	32.22	1.254	9.838	0.042
4.5 	59.75	3.165	8.694	0.058
5.8 	105.5	2.353	7.608	0.024
8 	145.7	 1.95	6.592	0.015
24 	91.29	0.6647	4.738	0.01581
70 	-999.9	-999.9	-999.9	-999.9
