#Source SSTISAGE1C J050945.14-684609.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	23.678	0.47495	12.069	0.022
1.59 	 15.3	0.36204	12.064	0.026
2.15 	10.102	0.22085	12.049	0.024
3.6 	5.358	0.272	11.786	0.055
4.5 	3.661	0.5554	11.726	0.165
5.8 	3.381	0.3033	11.343	0.097
8 	4.888	0.8186	10.278	0.182
24 	101.6	 1.24	4.622	0.02651
70 	-999.9	-999.9	-999.9	-999.9
