#Source SSTISAGE1C J053859.25-695915.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.52042	0.0635	17.249	0.125
0.547 	1.3577	0.28835	16.112	0.2091
0.802 	3.4768	0.1338	14.699	0.041
1.21 	5.515	0.36336	13.651	0.074
1.59 	6.9422	0.52867	12.922	0.086
2.15 	5.5055	0.30558	12.708	0.062
3.6 	2.525	0.1945	12.603	0.084
4.5 	1.561	0.1123	12.652	0.078
5.8 	1.139	0.08561	12.525	0.082
8 	0.612	0.04028	12.534	0.071
24 	3.457	0.08935	8.292	0.05613
70 	-999.9	-999.9	-999.9	-999.9
