#Source SSTISAGE1C J050351.50-685724.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	13.614	0.7401	12.817	0.059
0.4747 	12.952	0.35804	13.759	 0.03
0.547 	9.7097	0.43929	13.976	0.0491
0.802 	7.9283	0.32144	13.804	0.044
1.21 	3.8436	0.10475	14.043	 0.03
1.59 	2.8229	0.11959	13.899	0.047
2.15 	2.5775	0.11601	13.532	 0.05
3.6 	 1.38	0.07873	13.259	0.062
4.5 	1.082	0.07988	13.049	 0.08
5.8 	0.8185	0.05584	12.883	0.074
8 	0.6814	0.06123	12.417	0.098
24 	2.526	0.1565	8.701	0.1434
70 	-999.9	-999.9	-999.9	-999.9
