#Source SSTISAGE1C J052135.93-690230.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.4708	0.53967	14.026	0.131
0.4747 	4.7288	0.13072	14.853	 0.03
0.547 	3.8726	0.12882	14.974	0.0361
0.802 	1.8949	0.075082	15.358	0.043
1.21 	0.95136	0.055284	15.559	0.065
1.59 	0.64077	0.081653	15.509	0.148
2.15 	0.40888	0.40888	15.531	15.531
3.6 	0.1778	0.0102	15.483	0.062
4.5 	0.1242	0.01389	 15.4	0.121
5.8 	0.1374	0.0224	14.821	0.177
8 	0.3709	0.02985	13.077	0.087
24 	13.27	0.1748	6.825	0.02843
70 	-999.9	-999.9	-999.9	-999.9
