#Source SSTISAGE1C J044941.42-683751.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.0032089	0.0011558	22.774	0.334
0.547 	0.068613	0.0041058	19.353	0.0631
0.802 	 34.8	3.3225	12.198	0.099
1.21 	354.77	7.756	 9.13	0.024
1.59 	618.73	22.38	8.047	 0.04
2.15 	675.45	12.328	7.486	 0.02
3.6 	660.9	 23.7	6.558	0.039
4.5 	559.2	 19.7	6.266	0.038
5.8 	536.5	16.86	5.842	0.034
8 	815.9	17.33	4.721	0.023
24 	694.7	3.905	2.534	0.01221
70 	64.76	3.364	2.699	0.1129
