#Source SSTISAGE1C J050951.27-684845.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	3.671	0.16594	14.24	0.048
0.4747 	3.3109	0.080243	15.24	0.026
0.547 	3.2931	0.10194	15.15	0.0331
0.802 	2.276	0.076731	15.159	0.036
1.21 	1.1977	0.064391	15.309	 0.06
1.59 	0.86996	0.083097	15.177	0.109
2.15 	0.82034	0.087189	14.775	0.122
3.6 	0.3932	0.02997	14.622	0.083
4.5 	0.3877	0.02022	14.164	0.057
5.8 	0.3374	0.03895	13.846	0.125
8 	0.314	0.02117	13.258	0.073
24 	2.231	0.06483	8.767	0.06311
70 	-999.9	-999.9	-999.9	-999.9
