#Source SSTISAGE1C J054801.94-695353.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	10.27	0.49394	13.123	0.051
0.4747 	8.0085	0.38516	14.281	0.051
0.547 	7.0926	0.12588	14.317	0.0191
0.802 	4.2343	0.15082	14.485	0.038
1.21 	2.4386	0.081704	14.537	0.037
1.59 	1.4518	0.093151	14.621	0.072
2.15 	0.97813	0.099114	14.584	0.116
3.6 	0.3887	0.0254	14.634	0.071
4.5 	0.2571	0.02939	14.61	0.124
5.8 	-999.9	-999.9	99.999	99.999
8 	0.564	0.04628	12.622	0.089
24 	50.26	0.467	5.386	0.02018
70 	-999.9	-999.9	-999.9	-999.9
