#Source SSTISAGE1C J053804.05-693712.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	5.465	0.46327	13.808	0.092
0.4747 	5.8499	0.12398	14.622	0.023
0.547 	5.3408	0.13829	14.625	0.0281
0.802 	5.4649	0.19135	14.208	0.038
1.21 	3.2236	0.11087	14.234	0.038
1.59 	2.5252	0.11809	14.02	0.052
2.15 	2.1617	0.11433	13.723	0.059
3.6 	1.881	0.1027	12.922	0.059
4.5 	1.495	0.1502	12.699	0.109
5.8 	1.395	0.1004	12.304	0.078
8 	1.142	0.0931	11.857	0.089
24 	14.55	0.3328	6.616	0.04465
70 	-999.9	-999.9	-999.9	-999.9
