#Source SSTISAGE1C J054139.16-694924.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	28.522	0.657	12.014	0.025
0.4747 	37.355	2.4093	12.609	 0.07
0.547 	30.311	3.8011	12.74	0.1361
0.802 	22.887	4.7869	12.653	0.227
1.21 	14.36	0.30099	12.612	0.023
1.59 	9.118	0.21575	12.626	0.026
2.15 	6.4387	0.15814	12.538	0.027
3.6 	2.699	0.1703	12.53	0.069
4.5 	1.734	0.1114	12.538	 0.07
5.8 	1.151	0.0884	12.513	0.083
8 	0.8214	0.06759	12.214	0.089
24 	9.754	0.3236	7.298	0.08137
70 	-999.9	-999.9	-999.9	-999.9
