#Source SSTISAGE1C J052442.62-671023.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	9.9263	1.5867	13.16	0.161
0.4747 	12.347	0.51063	13.811	0.044
0.547 	11.814	0.23184	13.763	0.0211
0.802 	9.0029	0.86857	13.666	  0.1
1.21 	5.5968	0.15253	13.635	 0.03
1.59 	3.6366	0.13799	13.624	0.042
2.15 	2.6619	0.09392	13.497	0.039
3.6 	1.186	0.02906	13.423	0.027
4.5 	0.7776	0.03456	13.408	0.048
5.8 	0.5249	0.03476	13.366	0.072
8 	0.4019	0.03639	12.99	0.098
24 	2.877	0.2692	8.491	0.2037
70 	-999.9	-999.9	-999.9	-999.9
