#Source SSTISAGE1C J051647.41-694415.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	 0.84	 0.07	15.84	 0.08
0.4747 	  1.7	 0.55	15.97	 0.31
0.547 	 3.48	 0.25	15.09	 0.07
0.802 	 4.81	 0.26	14.35	 0.06
1.21 	5.4193	0.14769	13.67	 0.03
1.59 	5.1322	0.18564	13.25	 0.04
2.15 	3.5645	0.16043	13.18	 0.05
3.6 	 1.36	 0.06	13.27	 0.05
4.5 	 0.88	 0.04	13.27	 0.06
5.8 	 0.63	 0.05	13.17	 0.08
8 	 0.48	 0.03	 12.8	 0.08
24 	-999.9	-999.9	99.999	99.999
70 	-999.9	-999.9	-999.9	-999.9
