#Source SSTISAGE1C J044540.45-695311.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.85662	0.032148	15.82	 0.04
0.4747 	2.3526	0.054799	15.611	0.025
0.547 	4.9614	0.18667	14.705	0.0401
0.802 	7.698	0.25953	13.836	0.036
1.21 	8.589	0.18778	13.17	0.024
1.59 	8.104	0.22811	12.754	0.031
2.15 	5.5564	0.19605	12.698	0.039
3.6 	2.654	0.1278	12.549	0.052
4.5 	1.683	0.122	12.57	0.079
5.8 	 1.14	0.07916	12.523	0.075
8 	1.294	0.09936	11.721	0.083
24 	 1.31	0.04958	9.346	0.08223
70 	-999.9	-999.9	-999.9	-999.9
