#Source SSTISAGE1C J045556.19-662402.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	5.0256	0.13429	13.899	0.029
0.4747 	4.7858	0.12789	14.84	0.029
0.547 	4.4793	0.16964	14.816	0.0411
0.802 	4.0849	0.27854	14.524	0.074
1.21 	2.9563	0.088501	14.328	0.033
1.59 	2.3201	0.096242	14.112	0.046
2.15 	1.8741	0.10728	13.878	0.064
3.6 	1.064	0.05312	13.54	0.054
4.5 	0.8523	0.07295	13.309	0.093
5.8 	0.6594	0.03561	13.118	0.059
8 	0.3843	0.03237	13.039	0.091
24 	9.016	0.468	7.354	0.124
70 	-999.9	-999.9	-999.9	-999.9
