#Source SSTISAGE1C J044458.40-703522.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.96203	0.035185	15.694	0.039
0.4747 	2.0006	0.080821	15.787	0.043
0.547 	2.3813	0.057937	15.502	0.0261
0.802 	2.2844	0.090101	15.155	0.042
1.21 	2.1774	0.086477	14.66	0.044
1.59 	1.6776	0.1004	14.464	0.067
2.15 	1.7314	0.11705	13.964	0.076
3.6 	 3.52	0.1411	12.242	0.044
4.5 	-999.9	-999.9	99.999	99.999
5.8 	 7.15	0.2796	10.53	0.042
8 	11.83	0.3461	9.318	0.032
24 	10.27	0.264	 7.11	0.05586
70 	-999.9	-999.9	-999.9	-999.9
