#Source SSTISAGE1C J054108.28-695444.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	9.0779	0.20293	13.257	0.024
0.4747 	8.4169	1.7398	14.227	0.204
0.547 	7.7127	0.29018	14.226	0.0401
0.802 	4.8215	0.58333	14.344	0.124
1.21 	2.5962	0.11913	14.469	0.051
1.59 	1.7762	0.10937	14.402	0.069
2.15 	1.163	0.10331	14.396	0.101
3.6 	0.4828	0.02753	14.399	0.062
4.5 	0.2945	0.02555	14.463	0.094
5.8 	0.2341	0.0324	14.242	 0.15
8 	0.3412	0.03313	13.168	0.105
24 	23.19	0.2606	6.226	0.02441
70 	-999.9	-999.9	-999.9	-999.9
