#Source SSTISAGE1C J053036.41-671742.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	7.2109	0.13953	13.507	0.021
0.4747 	9.2204	0.19541	14.128	0.023
0.547 	7.1979	0.11342	14.301	0.0171
0.802 	4.479	0.14858	14.424	0.036
1.21 	2.2696	0.12004	14.615	0.059
1.59 	1.375	0.10237	14.68	0.084
2.15 	0.89701	0.10779	14.678	0.139
3.6 	0.5256	0.03915	14.307	0.081
4.5 	0.4803	0.05326	13.931	 0.12
5.8 	0.529	0.0423	13.357	0.087
8 	0.7403	0.03614	12.327	0.053
24 	2.387	0.07674	8.737	0.07267
70 	-999.9	-999.9	-999.9	-999.9
