#Source SSTISAGE1C J052043.84-692340.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.16353	0.01089	17.618	 0.07
0.4747 	1.0232	0.054158	16.515	0.056
0.547 	3.5286	0.29122	15.075	0.0861
0.802 	7.3448	0.35323	13.887	0.051
1.21 	10.26	0.33461	12.977	0.036
1.59 	9.583	0.38059	12.572	0.044
2.15 	7.413	0.30096	12.385	0.045
3.6 	2.764	0.1513	12.504	0.059
4.5 	2.097	0.1515	12.331	0.078
5.8 	 3.45	0.1021	11.321	0.032
8 	17.38	0.2786	8.901	0.017
24 	120.8	0.7493	4.434	0.01347
70 	41.81	 3.66	3.174	0.1906
