#Source SSTISAGE1C J052713.94-713502.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	9.5145	0.25424	13.206	0.029
0.4747 	12.077	0.34497	13.835	0.031
0.547 	10.462	0.48296	13.895	0.0501
0.802 	6.1317	0.17515	14.083	0.031
1.21 	5.4393	0.16284	13.666	0.033
1.59 	5.1988	0.18804	13.236	 0.04
2.15 	3.7566	0.13254	13.123	0.039
3.6 	  1.5	0.1679	13.168	0.122
4.5 	0.9996	0.08099	13.136	0.088
5.8 	0.7226	0.07616	13.019	0.114
8 	0.4862	0.03744	12.784	0.084
24 	1.179	0.04962	 9.46	0.09146
70 	-999.9	-999.9	-999.9	-999.9
