#Source SSTISAGE1C J045037.53-681215.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	5.0768	1.6887	13.888	0.361
0.4747 	5.775	0.15432	14.636	0.029
0.547 	5.5566	0.2514	14.582	0.0491
0.802 	4.3369	0.15985	14.459	 0.04
1.21 	2.5512	0.083203	14.488	0.036
1.59 	2.0507	0.077813	14.246	0.042
2.15 	 1.49	0.094321	14.127	0.071
3.6 	0.8359	0.03685	13.803	0.048
4.5 	0.6307	0.04081	13.636	 0.07
5.8 	0.4606	0.04379	13.508	0.103
8 	0.2616	0.02456	13.457	0.102
24 	0.661	0.04876	10.09	0.1605
70 	-999.9	-999.9	-999.9	-999.9
