#Source SSTISAGE1C J045317.35-680046.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	7.4608	0.28186	13.47	0.041
0.4747 	6.1482	0.15863	14.568	0.028
0.547 	6.6498	0.11091	14.387	0.0181
0.802 	5.1331	0.16555	14.276	0.035
1.21 	2.7819	0.10062	14.394	 0.04
1.59 	2.0077	0.09389	14.269	0.052
2.15 	1.6173	0.10934	14.038	0.076
3.6 	0.797	0.03428	13.854	0.047
4.5 	0.6185	0.03963	13.657	 0.07
5.8 	0.4495	0.04003	13.534	0.097
8 	0.3121	0.02909	13.265	0.101
24 	1.005	0.1665	9.633	0.3629
70 	-999.9	-999.9	-999.9	-999.9
