#Source SSTISAGE1C J053416.39-695740.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.20814	0.0062257	18.244	0.032
0.547 	0.99085	0.069008	16.454	0.0731
0.802 	6.7357	0.2335	13.981	0.037
1.21 	13.879	0.27839	12.649	0.022
1.59 	20.64	0.39537	11.739	0.021
2.15 	17.506	0.38273	11.452	0.024
3.6 	11.95	0.2891	10.914	0.026
4.5 	 12.6	0.499	10.385	0.043
5.8 	 16.5	0.3618	9.622	0.024
8 	31.09	0.6445	8.269	0.023
24 	45.91	0.4113	5.484	0.01945
70 	-999.9	-999.9	-999.9	-999.9
