#Source SSTISAGE1C J050829.89-702042.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.7745	0.09715	14.544	0.038
0.4747 	3.5641	0.15436	15.16	0.047
0.547 	2.7746	0.074402	15.336	0.0291
0.802 	2.2887	0.088575	15.153	0.042
1.21 	1.4413	0.064867	15.108	 0.05
1.59 	1.0184	0.089604	15.006	  0.1
2.15 	0.91032	0.085434	14.662	0.107
3.6 	0.6624	0.02644	14.055	0.043
4.5 	0.5453	0.04817	13.794	0.096
5.8 	0.4053	0.0378	13.646	0.101
8 	0.3852	0.02941	13.036	0.083
24 	0.9535	0.05645	 9.69	0.1287
70 	28.78	2.493	 3.58	0.1886
