#Source SSTISAGE1C J051755.20-712605.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.2573	0.07904	14.768	0.038
0.4747 	6.1766	0.17074	14.563	 0.03
0.547 	11.046	0.39797	13.836	0.0391
0.802 	14.269	6.2581	13.166	0.476
1.21 	15.472	0.3661	12.531	0.026
1.59 	14.006	0.35657	12.16	0.028
2.15 	9.6116	0.26194	12.103	 0.03
3.6 	4.431	0.2327	11.992	0.057
4.5 	 2.24	0.1859	12.26	 0.09
5.8 	1.823	0.0961	12.014	0.057
8 	0.9967	0.04249	12.004	0.046
24 	2.505	0.06077	8.642	0.05268
70 	-999.9	-999.9	-999.9	-999.9
