#Source SSTISAGE1C J053556.24-694206.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	32.448	0.80721	11.874	0.027
0.4747 	31.765	3.2195	12.785	 0.11
0.547 	31.132	4.449	12.711	0.1551
0.802 	16.795	3.3117	12.989	0.214
1.21 	9.3658	0.22162	13.076	0.026
1.59 	5.9306	0.18284	13.093	0.034
2.15 	3.5941	0.13956	13.171	0.043
3.6 	1.694	0.06476	13.036	0.042
4.5 	1.135	0.08064	12.998	0.077
5.8 	0.6726	0.05365	13.096	0.087
8 	0.8131	0.07461	12.225	  0.1
24 	29.94	0.6682	5.948	0.04847
70 	-999.9	-999.9	-999.9	-999.9
