#Source SSTISAGE1C J054758.52-695400.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.6233	0.14192	15.126	0.091
0.4747 	1.3036	0.040231	16.252	0.033
0.547 	1.1231	0.047633	16.318	0.0451
0.802 	0.63912	0.025208	16.538	0.042
1.21 	0.47945	0.050167	16.303	 0.12
1.59 	0.23115	0.23115	16.616	16.616
2.15 	0.19355	0.19355	16.343	16.343
3.6 	0.3474	0.03832	14.756	 0.12
4.5 	0.3145	0.03628	14.391	0.125
5.8 	1.225	0.1175	12.445	0.104
8 	4.424	0.3282	10.386	0.081
24 	120.3	0.7667	4.438	0.01384
70 	-999.9	-999.9	-999.9	-999.9
