#Source SSTISAGE1C J052920.23-713521.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.97003	0.029936	15.685	0.033
0.4747 	2.6372	0.076384	15.487	0.031
0.547 	2.834	0.08504	15.313	0.0321
0.802 	2.3013	0.084168	15.147	0.039
1.21 	1.8397	0.068176	14.843	0.041
1.59 	1.6979	0.086836	14.451	0.057
2.15 	2.2553	0.10547	13.677	0.052
3.6 	4.411	0.1939	11.997	0.048
4.5 	5.862	0.1308	11.208	0.091
5.8 	5.742	0.1623	10.768	0.031
8 	5.898	0.4921	10.08	0.024
24 	2.202	0.06887	8.782	0.06794
70 	-999.9	-999.9	-999.9	-999.9
