#Source SSTISAGE1C J052717.79-662205.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	18.949	0.51302	12.458	0.029
0.4747 	20.91	3.5442	13.239	 0.17
0.547 	22.657	2.1653	13.056	0.0991
0.802 	26.741	2.7423	12.484	0.106
1.21 	17.185	0.63684	12.417	0.041
1.59 	17.844	0.70869	11.897	0.044
2.15 	31.886	0.75449	10.801	0.026
3.6 	113.6	5.822	 8.47	0.056
4.5 	139.5	5.542	7.774	0.043
5.8 	168.4	3.615	  7.1	0.023
8 	  217	5.137	6.159	0.026
24 	297.2	1.698	3.456	0.0124
70 	117.3	3.269	2.054	0.06051
