#Source SSTISAGE1C J055016.27-694249.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.03348	0.0032978	19.34	0.102
0.4747 	0.29211	0.0079075	17.876	0.029
0.547 	1.1793	0.023142	16.265	0.0211
0.802 	5.0814	0.18099	14.287	0.038
1.21 	10.138	0.20335	12.99	0.022
1.59 	14.639	0.32003	12.112	0.024
2.15 	11.282	0.24666	11.929	0.024
3.6 	5.293	0.2204	11.799	0.045
4.5 	3.241	0.1749	11.859	0.059
5.8 	  2.6	0.1061	11.628	0.044
8 	4.082	0.1344	10.474	0.036
24 	3.483	0.08891	8.284	0.05544
70 	-999.9	-999.9	-999.9	-999.9
