#Source SSTISAGE1C J053609.01-694204.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	7.6698	0.18375	13.44	0.026
0.4747 	11.271	0.43618	13.91	0.042
0.547 	8.7742	0.40505	14.086	0.0501
0.802 	5.3454	0.26105	14.232	0.053
1.21 	2.6251	0.083273	14.457	0.035
1.59 	1.4504	0.083027	14.622	0.064
2.15 	0.86855	0.088011	14.713	0.116
3.6 	0.4113	0.02871	14.573	0.076
4.5 	0.2645	0.03114	14.579	0.128
5.8 	0.1671	0.02457	14.609	 0.16
8 	0.4479	0.03853	12.873	0.093
24 	22.33	0.5526	6.266	0.05375
70 	-999.9	-999.9	-999.9	-999.9
