#Source SSTISAGE1C J050148.18-674730.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	-999.9	-999.9	99.999	99.999
1.59 	-999.9	-999.9	99.999	99.999
2.15 	-999.9	-999.9	99.999	99.999
3.6 	2.701	0.1267	12.529	0.051
4.5 	12.78	0.6132	10.369	0.052
5.8 	38.34	1.049	8.707	 0.03
8 	108.4	1.998	6.913	 0.02
24 	  189	1.236	3.948	0.0142
70 	-999.9	-999.9	-999.9	-999.9
