#Source SSTISAGE1C J054013.05-691716.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.3291	0.067644	14.734	0.032
0.4747 	2.9563	0.41446	15.363	0.164
0.547 	3.5711	0.097643	15.062	0.0301
0.802 	2.9921	0.10823	14.862	 0.04
1.21 	2.0833	0.084579	14.708	0.045
1.59 	1.4358	0.087168	14.633	0.068
2.15 	0.92981	0.11098	14.639	0.138
3.6 	0.4781	0.02381	14.409	0.054
4.5 	0.3731	0.02122	14.206	0.062
5.8 	0.3197	0.02984	13.904	0.101
8 	1.646	0.05413	11.459	0.036
24 	129.5	1.575	4.408	0.02766
70 	-999.9	-999.9	-999.9	-999.9
