#Source SSTISAGE1C J052103.91-685732.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	13.243	0.98837	12.847	0.081
0.4747 	2.5024	0.42198	15.544	0.183
0.547 	6.5706	0.47891	 14.4	0.0791
0.802 	3.6642	0.17895	14.642	0.053
1.21 	2.9535	0.14071	14.329	0.053
1.59 	1.9209	0.11994	14.317	 0.07
2.15 	1.6143	0.11743	14.04	0.082
3.6 	0.9622	0.04298	13.65	0.048
4.5 	0.6889	0.06424	13.54	0.101
5.8 	0.5159	0.04414	13.384	0.093
8 	0.3658	0.03163	13.092	0.094
24 	0.6927	0.0512	10.04	0.1608
70 	-999.9	-999.9	-999.9	-999.9
