#Source SSTISAGE1C J044555.37-705041.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.93323	0.028379	15.727	0.033
0.4747 	1.7764	0.15224	15.916	0.093
0.547 	2.729	0.048032	15.354	0.0191
0.802 	4.7597	0.11842	14.358	0.027
1.21 	4.9379	0.11684	13.771	0.026
1.59 	5.8817	0.14974	13.102	0.028
2.15 	8.5821	0.22619	12.226	0.029
3.6 	13.92	0.4269	10.749	0.033
4.5 	15.01	 0.69	10.194	 0.05
5.8 	14.55	0.4733	9.759	0.035
8 	14.16	0.3002	9.123	0.023
24 	41.33	0.3539	5.598	0.01859
70 	-999.9	-999.9	-999.9	-999.9
