#Source SSTISAGE1C J050100.34-690343.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.69054	0.035882	16.054	0.055
0.4747 	1.7248	0.049958	15.948	0.031
0.547 	6.3213	0.19568	14.442	0.0331
0.802 	 12.6	0.52111	13.301	0.044
1.21 	12.881	0.30479	12.73	0.026
1.59 	11.511	0.34459	12.373	0.033
2.15 	9.5674	0.22639	12.108	0.026
3.6 	19.96	0.7838	10.358	0.043
4.5 	36.61	1.422	9.226	0.042
5.8 	59.95	1.266	8.221	0.023
8 	75.15	1.331	7.311	0.019
24 	23.82	0.2744	6.196	0.02502
70 	-999.9	-999.9	-999.9	-999.9
