#Source SSTISAGE1C J051446.18-675547.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.26061	0.011729	17.112	 0.05
0.4747 	0.81649	0.012685	16.76	0.017
0.547 	1.9788	0.10311	15.703	0.0581
0.802 	8.7979	0.37272	13.691	0.047
1.21 	6.4616	0.17031	13.479	0.029
1.59 	8.0371	0.21183	12.763	0.029
2.15 	11.366	0.29956	11.921	0.029
3.6 	36.58	0.8601	  9.7	0.026
4.5 	52.75	2.263	 8.83	0.047
5.8 	69.44	1.203	8.062	0.019
8 	75.93	0.9912	  7.3	0.014
24 	18.77	0.2659	6.455	0.01538
70 	-999.9	-999.9	-999.9	-999.9
