#Source SSTISAGE1C J052328.42-681223.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	80.018	4.8658	10.894	0.066
0.4747 	70.332	3.4993	11.922	0.054
0.547 	52.821	2.5356	12.137	0.0521
0.802 	37.912	1.6418	12.105	0.047
1.21 	20.623	0.52504	12.219	0.028
1.59 	13.314	0.36284	12.215	 0.03
2.15 	8.3868	0.25856	12.251	0.034
3.6 	3.734	0.1552	12.178	0.045
4.5 	2.547	0.152	12.12	0.065
5.8 	1.709	0.08662	12.084	0.055
8 	1.041	0.04318	11.957	0.045
24 	3.371	0.1153	 8.09	0.06017
70 	-999.9	-999.9	-999.9	-999.9
